week,date,ask,bid
Week 3,15-May-09,17393.52857,17968.27143
Week 4,22-May-09,17341.98571,17898.41429
Week 1,29-May-09,17303.68571,17851.94286
Week 2,5-Jun-09,17368.6,17917.41429
Week 3,12-Jun-09,17258.87143,17809.64286
Week 4,19-Jun-09,17316.72857,17873.67143
Week 1,26-Jun-09,17405.31429,17963.25714
Week 2,3-Jul-09,17511.9,18083.92857
Week 3,10-Jul-09,17544.25714,18036.75714
Week 4,17-Jul-09,17392.62857,17946.05714
Week 1,24-Jul-09,17342.97143,17886.58571
Week 2,31-Jul-09,17560.07143,17876.27143
Week 3,7-Aug-09,17411.42857,17876.34286
Week 4,14-Aug-09,17423.65714,17865.62857
Week 1,21-Aug-09,17594.12857,18077.52857
Week 2,28-Aug-09,17597.45714,18102.78571
Week 3,4-Sep-09,17600.67143,18095.7
Week 4,11-Sep-09,17671.97143,18078.15714
Week 1,18-Sep-09,17647.22857,18114.64286
Week 2,25-Sep-09,17611.47143,18105.18571
Week 3,2-Oct-09,17565.71429,18090.94286
Week 4,9-Oct-09,17605.45714,18118.71429
Week 1,16-Oct-09,17686.97143,18076.2
Week 2,23-Oct-09,17762.91429,18034.74286
Week 3,30-Oct-09,17738.8,18053.52857
Week 4,6-Nov-09,17732.61429,18021.98571
Week 1,13-Nov-09,17753.35714,18025.84286
Week 2,20-Nov-09,17833.24286,18212.31429
Week 3,27-Nov-09,18119.32857,18589.84286
Week 4,4-Dec-09,18377.92857,18828.15714
Week 1,11-Dec-09,18253.54286,18688.95714
Week 2,18-Dec-09,18265.54286,18684.94286
Week 3,25-Dec-09,18305.95714,18650.98571
Week 4,1-Jan-10,18328.85714,18636.61429
Week 1,8-Jan-10,18231.95714,18709.07143
Week 2,15-Jan-10,18197.11429,18754.4
Week 3,22-Jan-10,18219.82857,18707.3
Week 4,29-Jan-10,18283.24286,18725.01429
Week 1,5-Feb-10,18348.48571,18628.58571
Week 2,12-Feb-10,18528.92857,18808.45714
Week 3,19-Feb-10,18574.7,19089.34286
Week 4,26-Feb-10,18747.61429,19188.15714
Week 1,5-Mar-10,18877.98571,19301.37143
Week 2,12-Mar-10,18847.58571,19189.65714
Week 3,19-Mar-10,18782.85714,19168.24286
Week 4,26-Mar-10,18857.21429,19307.45714
Week 1,2-Apr-10,18844.72857,19296.58571
Week 2,9-Apr-10,18855.68571,19207.5
Week 3,16-Apr-10,18744.2,19229.58571
Week 4,23-Apr-10,18751.32857,19199.41429
Week 1,30-Apr-10,18738.05714,19236.84286
Week 2,7-May-10,18770.98571,19306.04286
Week 3,14-May-10,18778.37143,19256.48571
Week 4,21-May-10,18710.01429,19204.32857
Week 1,28-May-10,18750.65714,19209.31429
Week 2,4-Jun-10,18787.4,19360.74286
Week 3,11-Jun-10,18761.95714,19219.82857
Week 4,18-Jun-10,18758.91429,19215.17143
Week 1,25-Jun-10,18757.78571,19216.42857
Week 2,2-Jul-10,18784.95714,19299.8
Week 3,9-Jul-10,18783.4,19406.97143
Week 4,16-Jul-10,18964.21429,19234.91429
Week 1,23-Jul-10,18928.61429,19302.38571
Week 2,30-Jul-10,18882.08571,19269.8
Week 3,6-Aug-10,18854.35714,19245.52857
Week 4,13-Aug-10,18906.42857,19384.6
Week 1,20-Aug-10,19207.24286,19769.22857
Week 2,27-Aug-10,19208.38571,19719.02857
Week 3,3-Sep-10,19273.44286,19674.4
Week 4,10-Sep-10,19304.75714,19675.47143
Week 1,17-Sep-10,19297.21429,19730.78571
Week 2,24-Sep-10,19271.22857,19676.55714
Week 3,1-Oct-10,19274.31429,19691.82857
Week 4,8-Oct-10,19331.62857,19652.38571
Week 1,15-Oct-10,19259.45714,19742.01429
Week 2,22-Oct-10,19252.8,19640.78571
Week 3,29-Oct-10,19311.08571,19668.04286
Week 4,5-Nov-10,19375.74286,19606.8
Week 1,12-Nov-10,19310.92857,19687.37143
Week 2,19-Nov-10,19409.15714,19596.25714
Week 3,26-Nov-10,19375.85714,19633.77143
Week 4,3-Dec-10,19343.18571,19609.81429
Week 1,10-Dec-10,19365.14286,19624.2
Week 2,17-Dec-10,19365.98571,19729.84286
Week 3,24-Dec-10,19360,19635.35714
Week 4,31-Dec-10,19384.41429,19664.72857
Week 1,7-Jan-11,19352.8,19658.64286
Week 2,14-Jan-11,19379.52857,19641.41429
Week 3,21-Jan-11,19304.65714,19644.6
Week 4,28-Jan-11,19370.77143,19676.04286
Week 1,4-Feb-11,19341.75714,19695.67143
Week 2,11-Feb-11,19869.94286,20171.15714
Week 3,18-Feb-11,20343.04286,20621.07143
Week 4,25-Feb-11,20207.24286,20459.2
Week 1,4-Mar-11,20199.41429,20410.5
Week 2,11-Mar-11,20696.21429,20967.58571
Week 3,18-Mar-11,20728.34286,20989.54286
Week 4,25-Mar-11,20724.94286,21117.57143
Week 1,1-Apr-11,20752.7,21028.97143
Week 2,8-Apr-11,20690.57143,21015.08571
